"set","setInf","locx","locy","time","genoID"
15,1,3.14513658412059,2.08701639344265,0,2748430054676411
21,1,5.60182303245884,6.85478656968628,37,7672042595607611
3,1,5.19927272727327,2.55909356313043,40,3079778059731611
15,2,3.14513658412059,2.08701639344265,41,2184931452930971
30,1,6.02193577566731,6.31965714285713,44,3169955325200015
15,3,3.14513658412059,2.08701639344265,45,7812643190261747
30,2,6.02193577566731,6.31965714285713,61,3625150756802459
15,4,3.14513658412059,2.08701639344265,62,3343679236129947
5,1,5.42108626198161,3.65709192916844,64,3326498225570843
30,3,6.02193577566731,6.31965714285713,65,7847277789498905
15,5,3.14513658412059,2.08701639344265,66,7847415228680177
15,6,3.14513658412059,2.08701639344265,66,5560434197061145
15,7,3.14513658412059,2.08701639344265,67,7814292063438747
30,4,6.02193577566731,6.31965714285713,67,7777046081234490
30,5,6.02193577566731,6.31965714285713,67,7777046081234490
3,2,5.19927272727327,2.55909356313043,68,3308493656048059
3,3,5.19927272727327,2.55909356313043,68,3326051348149657
22,1,2.00289321409775,4.52562162162161,68,3310693685970523
15,8,3.14513658412059,2.08701639344265,69,6565796987588243
30,6,6.02193577566731,6.31965714285713,69,529035803018269
32,1,6.68026905829644,6.19239457831331,69,3308494880698143
15,10,3.14513658412059,2.08701639344265,70,3343677826843323
15,11,3.14513658412059,2.08701639344265,70,3345876716013106
15,12,3.14513658412059,2.08701639344265,70,3308562509786779
15,9,3.14513658412059,2.08701639344265,70,4469575926082523
21,2,5.60182303245884,6.85478656968628,70,4436592737177242
30,7,6.02193577566731,6.31965714285713,70,1091878342541499
30,8,6.02193577566731,6.31965714285713,70,7638508019172283
15,13,3.14513658412059,2.08701639344265,71,8973177696555929
15,14,3.14513658412059,2.08701639344265,71,3310690666074651
15,15,3.14513658412059,2.08701639344265,71,3062203051460507
30,10,6.02193577566731,6.31965714285713,71,7656080508469979
30,9,6.02193577566731,6.31965714285713,71,3361267362090555
15,16,3.14513658412059,2.08701639344265,72,7812093442375851
21,3,5.60182303245884,6.85478656968628,72,7849457485145307
32,2,6.68026905829644,6.19239457831331,72,7849476779460251
21,4,5.60182303245884,6.85478656968628,73,7161182516729563
3,4,5.19927272727327,2.55909356313043,73,4436734437551385
30,11,6.02193577566731,6.31965714285713,73,7585593552594459
22,2,2.00289321409775,4.52562162162161,73,3308768567542939
15,17,3.14513658412059,2.08701639344265,74,7093116764736155
15,18,3.14513658412059,2.08701639344265,74,7566350152943422
15,19,3.14513658412059,2.08701639344265,74,7847420396094811
3,5,5.19927272727327,2.55909356313043,74,7864870848283289
30,12,6.02193577566731,6.31965714285713,74,7814292449315481
30,13,6.02193577566731,6.31965714285713,74,7814979266659730
30,14,6.02193577566731,6.31965714285713,74,3238679096377531
5,2,5.42108626198161,3.65709192916844,74,7867073277280443
8,1,3.66735471578293,7.21564889080905,74,3308631078267579
21,5,5.60182303245884,6.85478656968628,75,3310692805166744
30,15,6.02193577566731,6.31965714285713,75,493743821342107
30,16,6.02193577566731,6.31965714285713,75,3346011940245403
32,3,6.68026905829644,6.19239457831331,75,3308476610436763
15,20,3.14513658412059,2.08701639344265,77,3363460815307675
15,21,3.14513658412059,2.08701639344265,77,7814840048993433
3,6,5.19927272727327,2.55909356313043,77,7812090901048475
30,17,6.02193577566731,6.31965714285713,77,3293100258388665
30,18,6.02193577566731,6.31965714285713,78,7812735279877817
22,3,2.00289321409775,4.52562162162161,78,8938542677673119
22,4,2.00289321409775,4.52562162162161,79,3310662748491707
15,22,3.14513658412059,2.08701639344265,80,3308768651505307
21,6,5.60182303245884,6.85478656968628,80,7847277420662427
30,19,6.02193577566731,6.31965714285713,80,7814289470842291
15,23,3.14513658412059,2.08701639344265,81,7831884366892187
3,7,5.19927272727327,2.55909356313043,81,7814292474482139
30,20,6.02193577566731,6.31965714285713,81,1059663678064538
5,3,5.42108626198161,3.65709192916844,82,3310692813555385
32,4,6.68026905829644,6.19239457831331,82,3346117703911067
15,24,3.14513658412059,2.08701639344265,83,4153174036179611
3,8,5.19927272727327,2.55909356313043,83,3275508374358939
30,21,6.02193577566731,6.31965714285713,83,3308631212485563
5,4,5.42108626198161,3.65709192916844,83,2747879770594971
22,5,2.00289321409775,4.52562162162161,83,3310692796784283
21,7,5.60182303245884,6.85478656968628,84,8938265920717723
30,22,6.02193577566731,6.31965714285713,85,3079775784290235
15,25,3.14513658412059,2.08701639344265,86,7794638250623803
30,23,6.02193577566731,6.31965714285713,86,3345876784562968
30,24,6.02193577566731,6.31965714285713,86,3308460420400825
5,5,5.42108626198161,3.65709192916844,86,3361408777219635
15,26,3.14513658412059,2.08701639344265,88,7110602414942875
